"design","label","arm","mae_mean","mae_sd","rmse_mean","rmse_sd","rsq_mean","rsq_sd","rsq_trad_mean","rsq_trad_sd"
"random","C | Iu=0.0","SEM",0.795057352590508,0.018743740969339,0.998407445890527,0.0238933309220477,0.355007324482042,0.029297094272336,0.353862002021512,0.0290597302935023
"random","C | Iu=0.0","XGBoost",0.915950245465824,0.0157117483549514,1.15223902779335,0.0166046809944569,0.216034612844041,0.0113640891210604,0.1396328874146,0.0229208151168748
"random","C | Iu=0.0","XGBoost + lags",0.90056068622072,0.0221638085171114,1.13171399896796,0.0273417064172021,0.224415042582164,0.0231554994258783,0.169871748277477,0.0357146940596819
"random","C | Iu=0.4","GraphSAGE",0.825760730533692,0.0244141022528609,1.03148091931059,0.0245205545059564,0.322799292080522,0.0136277091410499,0.314665340935543,0.0175514860311968
"random","C | Iu=0.4","GraphSAGE + LayerNorm",0.822314142375993,0.0154708536119647,1.02980660079645,0.0146415237021176,0.321263070426339,0.0109490672872688,0.316761565505259,0.0131071001040052
"random","C | Iu=0.4","OLS",0.80061893326223,0.0192239455927398,1.00000534067173,0.019441047355912,0.356832257705257,0.0200138883659373,0.355665177841508,0.0199548939168663
"random","C | Iu=0.4","SEM",0.800412415580656,0.019317192419486,0.999768889390084,0.0195362278155679,0.357032366247582,0.019835986123642,0.355978011918082,0.0197082644902735
"random","C | Iu=0.4","XGBoost",0.915442365889284,0.0234807914746298,1.15095480537135,0.0218691713161006,0.219683294833832,0.016239610630315,0.146343576454347,0.0306032379638048
"random","C | Iu=0.4","XGBoost + lags",0.90100028741252,0.0193491760550538,1.13082162803288,0.0207747309834025,0.233330651579591,0.0270436398942407,0.175499213511162,0.0417956901133772
"random","C | Iu=0.8","GraphSAGE",0.88703996421841,0.0486138941687424,1.11585026552372,0.0587705619618075,0.250075330476219,0.0492586856727626,0.181230625339758,0.0932706914857139
"random","C | Iu=0.8","GraphSAGE + LayerNorm",0.910275391517463,0.0650635829001696,1.12987341916733,0.0778817043737504,0.234896328138734,0.0602211348644743,0.161047054556222,0.107478663408193
"random","C | Iu=0.8","OLS",0.797649646278904,0.01423693121149,1.000422229574,0.0121246673224902,0.34502168963623,0.00966738934087684,0.344080899631113,0.00980705628204753
"random","C | Iu=0.8","SEM",0.79815795939385,0.0144696784180876,1.00082120167342,0.0119533119681848,0.345295277087248,0.00986224625795502,0.343539268528376,0.0110717553944687
"random","C | Iu=0.8","XGBoost",0.921469011925325,0.0146290581817734,1.15728833973218,0.0119511683968649,0.203152718531926,0.0124718434333546,0.121795034829225,0.0330902001999014
"random","C | Iu=0.8","XGBoost + lags",0.899059876769,0.0158153210270779,1.13114793258531,0.0188253543795841,0.221369581756832,0.0188034333779679,0.161032584343563,0.0348330561851649
"random","D | Iu=0.0 Ix=0.4","GraphSAGE",0.869662867989384,0.0296877077317769,1.09394647618277,0.0375023783380534,0.938014821895612,0.00562367323237982,0.9375719818201,0.00553750264395691
"random","D | Iu=0.0 Ix=0.4","GraphSAGE + LayerNorm",0.870499332413651,0.0177453557251802,1.09886079899687,0.0250973330317722,0.937385640529186,0.00381331362553063,0.937089065942787,0.00374177196099711
"random","D | Iu=0.0 Ix=0.4","OLS",2.37687057153553,0.0735827496648799,3.2310435690249,0.131808076882539,0.458332958471129,0.0347125594837842,0.456447274371698,0.035643236365383
"random","D | Iu=0.0 Ix=0.4","SEM",2.37658671745888,0.0737940638484448,3.23094098536197,0.131725391381909,0.458362962357647,0.034679910264986,0.456484315811576,0.0355764092229533
"random","D | Iu=0.0 Ix=0.4","XGBoost",0.988836465087742,0.0305189260149242,1.27212834318918,0.0387403583304024,0.915934705045051,0.00579033775796231,0.915660461173591,0.00588278111706787
"random","D | Iu=0.0 Ix=0.4","XGBoost + lags",0.983446367704957,0.025864844044924,1.27186291847321,0.0308185636016992,0.915921636087644,0.00685117832573573,0.915606746771906,0.00699511843394835
"random","D | Iu=0.4 Ix=0.4","GraphSAGE",0.882093454190821,0.0251532471476419,1.10320166631121,0.0273047119222389,0.936692458654178,0.00271655767236362,0.936371100902759,0.00280819620978241
"random","D | Iu=0.4 Ix=0.4","GraphSAGE + LayerNorm",0.892408025414318,0.0310754834141458,1.12061540687328,0.0407184639192576,0.934644131837063,0.00358233034379158,0.934360997885551,0.00352937521062396
