"design","label","fold","arm","mae","rmse","rsq","rsq_trad"
"random","C | Iu=0.4",3,"OLS",0.792157178707391,0.977691936505789,0.391122931399492,0.389718685960439
"random","C | Iu=0.4",3,"SEM",0.792260975443047,0.977791160824972,0.39107911100771,0.38959480681521
"random","C | Iu=0.4",3,"GraphSAGE",0.846810395039067,1.05355281867219,0.302812558414472,0.291338836974213
"random","C | Iu=0.4",3,"GraphSAGE + LayerNorm",0.832369324689209,1.0340942192832,0.323488232511636,0.317274338857466
"random","C | Iu=0.4",4,"OLS",0.820522266416418,1.01470856780568,0.364098560196271,0.363595786233189
"random","C | Iu=0.4",4,"SEM",0.820294655392627,1.01453361486036,0.364301707718806,0.363815221047533
"random","C | Iu=0.4",4,"GraphSAGE",0.853304264438231,1.05757575792677,0.315940283573145,0.308689161028046
"random","C | Iu=0.4",4,"GraphSAGE + LayerNorm",0.837073943394401,1.03563490443625,0.337523755647959,0.337075987795313
"random","C | Iu=0.4",5,"OLS",0.783111297137749,0.984869461519073,0.342974131262642,0.342153896124361
"random","C | Iu=0.4",5,"SEM",0.783314800583856,0.984814998599959,0.342924817676346,0.342226651407981
"random","C | Iu=0.4",5,"GraphSAGE",0.789295615572932,0.992080357796899,0.335773882798535,0.332485557361616
"random","C | Iu=0.4",5,"GraphSAGE + LayerNorm",0.803803439571568,1.00775710003509,0.312039245062827,0.311222902939935
"random","C | Iu=0.4",6,"OLS",0.778106721610574,0.991462288571083,0.355853389797287,0.353242958179768
"random","C | Iu=0.4",6,"SEM",0.777180629432043,0.990571276248118,0.355911910789804,0.354404897587712
"random","C | Iu=0.4",6,"GraphSAGE",0.807988737133527,1.02346435627591,0.322635429259631,0.310817548414436
"random","C | Iu=0.4",6,"GraphSAGE + LayerNorm",0.802474535803897,1.02400081032834,0.314139006632999,0.310094882088686
"random","C | Iu=0.4",1,"XGBoost",0.915701846642584,1.15881920850938,0.201905338560714,0.105730763083001
"random","C | Iu=0.4",2,"XGBoost",0.936423854221612,1.17880572086074,0.215928831707056,0.152540579709711
"random","C | Iu=0.4",3,"XGBoost",0.93316235916406,1.14559566679694,0.234116655638106,0.162106675426313
"random","C | Iu=0.4",4,"XGBoost",0.929646395360762,1.16371386888553,0.221581630990753,0.16296655342185
"random","C | Iu=0.4",5,"XGBoost",0.902778146902393,1.14410780488668,0.202751327680856,0.11222919043933
"random","C | Iu=0.4",6,"XGBoost",0.874941593044292,1.11468656228881,0.241815984425508,0.182487696645877
"random","C | Iu=0.4",1,"XGBoost + lags",0.921012143248751,1.15027017471382,0.195813902412328,0.118876795494765
"random","C | Iu=0.4",2,"XGBoost + lags",0.908985385139075,1.14420389896527,0.242279953018557,0.20156183370128
"random","C | Iu=0.4",3,"XGBoost + lags",0.896564781306732,1.10512559765875,0.268971211082809,0.220260953178942
"random","C | Iu=0.4",4,"XGBoost + lags",0.914811480149789,1.14671943989952,0.241601109381802,0.18723547093655
"random","C | Iu=0.4",5,"XGBoost + lags",0.898108539698789,1.1338370073908,0.206779866398031,0.128096903164629
"random","C | Iu=0.4",6,"XGBoost + lags",0.866519394931984,1.10477364956913,0.244537867184018,0.196963324590805
"random","C | Iu=0.8",1,"OLS",0.800688941856813,0.994665574520416,0.341452651734687,0.341368974243095
