"source","target","rsq_trad","bias","cal_slope"
"dallas","nashville",0.372804480400738,0.238824803721553,0.726955362574096
"nashville","dallas",0.370582658955652,-0.187009684590606,1.00123984713251
"la","dc",0.368064590118211,-0.00185920114514234,0.741119184963801
"vegas","nashville",0.366561705559537,0.289962628741315,0.733622795551329
"twincities","vegas",0.359331583078843,-0.0337053163160835,0.733323857919855
"sandiego","dc",0.356092731625182,-0.212301350376717,0.828059247644397
"la","broward",0.355034973805656,0.299044119693494,0.833113236586836
"vegas","chicago",0.343074424337567,-0.2565641795431,0.830145819362774
"dallas","vegas",0.342627029443778,-0.0959995709196804,0.780821146245631
"dc","dallas",0.337200430375396,0.285409174798148,1.03294450364833
"nyc","la",0.333087775414925,0.524512513096963,0.982176438291056
"broward","dc",0.309241353495508,-0.277117419259557,0.934643693449729
"vegas","dc",0.306977940829369,-0.278843253539475,0.866400517237755
"denver","broward",0.30038239351839,0.35057652787295,0.916795757235982
"la","dallas",0.298325115724642,0.329384177224005,0.820655946775263
"chicago","vegas",0.292217122157421,0.156540735578344,0.750052403770654
"dallas","dc",0.285315977251094,-0.286433000779693,0.867048530295671
"denver","vegas",0.285005201210674,0.274834475663761,0.759753825462384
"broward","nashville",0.28398750056274,0.298146269155905,0.683662146048522
"twincities","dc",0.272811412533954,-0.294827543247444,0.817407019015383
"denver","dallas",0.267290742346295,0.362239198074967,0.878873828658462
"columbus","nashville",0.229124690356005,0.411484690781285,0.76382829239828
"fortworth","nashville",0.217125212648564,0.408863108255095,0.747345724698614
"nyc","denver",0.185407283617343,0.535225786937004,0.937931121057036
"nashville","la",0.184344797868393,-0.530622317120646,1.13634284733605
"nashville","denver",0.177018226744789,-0.526992278744856,1.13008910337592
"nashville","chicago",0.173669850272503,-0.408379580688189,0.846488723694128
"dc","nyc",0.172698441972552,-0.413626999149488,1.27175168597525
"dc","nashville",0.166252846380069,0.446344058072508,0.867934956753531
"dc","vegas",0.135954404176036,0.220581798756351,0.639184368526986
"twincities","nashville",0.115229818882277,0.348628262249088,0.613333552582473
"sandiego","nashville",0.113139909352917,0.415160619426461,0.661513807995918
"nashville","dc",0.102485610419446,-0.446694072608087,0.918848998008574
"chicago","nyc",0.0898899312594951,-0.47838583337176,1.11757454387012
"denver","nyc",0.0776696036509275,-0.508437353755328,1.03819159237493
"la","nyc",0.0617225824957532,-0.513250978584712,0.993704779897784
"la","vegas",0.035051172882559,0.234960593468992,0.55191910206236
"chicago","nashville",-0.0346230516444521,0.522044506074543,0.732424169774248
"nyc","chicago",-0.0672580817917272,0.62604369482276,0.773946112590231
"nyc","dc",-0.135057642367861,0.565140406375578,0.748250193868672
"denver","nashville",-0.182741825546844,0.615775314769062,0.738272583465072
"nyc","sandiego",-0.189616058376139,0.787134869090916,0.915257193686911
"broward","nyc",-0.201951383901839,-0.657529771023215,1.32114375254322
"columbus","nyc",-0.212117275784131,-0.681246319259181,1.07584824408168
"fortworth","nyc",-0.215404765704976,-0.68314726851094,1.12184959775005
"sandiego","nyc",-0.233043902980277,-0.691082977920725,1.13487185152717
"dallas","nyc",-0.387516230391658,-0.756698906564738,1.15299667747092
"la","nashville",-0.398731461216589,0.623482841442871,0.615995014859502
"nyc","fortworth",-0.413525181169171,0.770953644458419,0.870347392189666
"nyc","columbus",-0.416042815454665,0.755646088539484,0.849456051250388
"twincities","nyc",-0.416536071253553,-0.775679896008423,1.09779510754656
"vegas","nyc",-0.433480778758468,-0.751220403099381,1.07129897219763
"nyc","twincities",-0.503213745069914,0.875730129676289,0.918051910584198
"nyc","vegas",-0.665138898309499,0.842935575122521,0.656616594865669
"nashville","nyc",-0.814361259003039,-0.906049003943073,1.0731306793138
"nyc","dallas",-0.972682949151395,0.932589018507964,0.765610233547744
"nyc","broward",-0.982723084376605,0.905750559203245,0.838024225339876
"nyc","nashville",-2.47418568523425,1.2439016608308,0.661087018859329
